год,место,марка,модель,максимальная_скорость_км_ч,разгон_0_100_км_ч_сек
1960,1,Aston Martin,DB4 GT Zagato,247,6.1
1960,2,Ferrari,250 GT California,240,6.5
1960,3,Chevrolet,Corvette C1 283 FI,233,5.9
1960,4,Maserati,3500 GT,230,7.0
1960,5,Jaguar,XK150 S 3.4,222,7.3
1960,6,Mercedes-Benz,300 SL Gullwing,215,8.8
1960,7,Porsche,356 Carrera,210,9.0
1960,8,AC,Ace Bristol,205,8.5
1960,9,Triumph,TR3A,195,9.5
1960,10,Alfa Romeo,Giulietta Sprint Veloce,190,10.0
1965,1,AC,Cobra Mk III 427,266,4.3
1965,2,Shelby,Cobra 427,262,4.5
1965,3,Iso,Grifo GL 365,259,6.0
1965,4,Ferrari,275 GTB,250,6.5
1965,5,Lamborghini,350 GT,250,6.8
1965,6,Jaguar,E-Type Series 1 4.2,245,7.0
1965,7,Aston Martin,DB5,235,7.1
1965,8,Chevrolet,Corvette Sting Ray L84,233,5.9
1965,9,Porsche,911 2.0,230,8.0
1965,10,Sunbeam,Tiger Mk I,205,8.5
1970,1,Lamborghini,Miura SV,290,5.5
1970,2,Ferrari,365 GTB/4 Daytona,280,5.4
1970,3,Maserati,Ghibli SS,280,6.0
1970,4,De Tomaso,Pantera,256,5.5
1974,1,Lamborghini,Countach LP400,290,5.4
1975,1,Porsche,911 Turbo (930),250,5.2
1978,1,BMW,M1,265,5.6
1982,1,Lamborghini,Countach LP5000 S,293,5.0
1984,1,Ferrari,288 GTO,305,4.9
1985,1,Lamborghini,Countach LP5000 QV,298,4.8
1987,1,Ruf,CTR Yellowbird,342,4.0
1987,2,Ferrari,F40,324,4.1
1987,3,Vector,W2,320,4.2
1987,4,McLaren,F1 LM (prototype era),320,3.9
1987,5,Porsche,959,317,3.7
1987,6,Chevrolet,Corvette Callaway Twin Turbo,300,4.2
1987,7,Lamborghini,Countach 5000 QV,295,4.5
1987,8,Ford,Sierra RS500 Cosworth,248,6.1
1987,9,BMW,M3 (E30),235,6.7
1987,10,Mercedes-Benz,190E 2.5-16 Evolution,230,7.5
1991,1,Bugatti,EB110 GT,342,3.5
1992,1,Jaguar,XJ220,343,3.6
1995,1,Ferrari,F50,325,3.7
1997,1,Mercedes-Benz,CLK GTR,344,3.8
2002,1,Ferrari,Enzo,350,3.3
2003,1,Porsche,Carrera GT,330,3.9
2011,1,Lamborghini,Aventador LP700-4,350,2.9
2013,1,Ferrari,LaFerrari,350,2.4
2013,2,McLaren,P1,350,2.8
2013,3,Porsche,918 Spyder,345,2.6
2025,1,Pininfarina,Battista,350-400,1.86
2026,1,Pininfarina,Battista,350-400,1.86
